AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|1.1|2.6|1.8|24|I(e) Unspecified and other specified leukemias|13615288|2000
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|18336708|2000
15-19|0.8|1.9|1.3|23|I(e) Unspecified and other specified leukemias|17999090|2000
5-9|0.7|1.7|1.1|20|I(e) Unspecified and other specified leukemias|18205547|2000
<1|2.7|7.6|4.7|16|I(e) Unspecified and other specified leukemias|3420047|2000
1-4|7.6|10.9|9.2|125|II Lymphomas and reticuloendothelial neoplasms|13615288|2000
10-14|22.4|27.0|24.7|452|II Lymphomas and reticuloendothelial neoplasms|18336708|2000
15-19|46.4|52.9|49.6|892|II Lymphomas and reticuloendothelial neoplasms|17999090|2000
5-9|13.2|16.8|14.9|271|II Lymphomas and reticuloendothelial neoplasms|18205547|2000
<1|6.9|13.9|9.9|34|II Lymphomas and reticuloendothelial neoplasms|3420047|2000
1-4|0.7|1.9|1.2|16|II(a) Hodgkin lymphomas|13615288|2000
10-14|11.2|14.5|12.8|234|II(a) Hodgkin lymphomas|18336708|2000
15-19|28.9|34.1|31.4|566|II(a) Hodgkin lymphomas|17999090|2000
5-9|2.9|4.7|3.7|68|II(a) Hodgkin lymphomas|18205547|2000
<1|~|~|~|~|II(a) Hodgkin lymphomas|3420047|2000
1-4|2.6|4.7|3.5|48|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|13615288|2000
10-14|7.1|9.8|8.3|153|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18336708|2000
15-19|13.0|16.6|14.7|265|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|17999090|2000
5-9|5.0|7.3|6.0|110|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18205547|2000
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3420047|2000
1-4|1.3|2.9|2.0|27|II(c) Burkitt lymphoma|13615288|2000
10-14|2.0|3.6|2.7|50|II(c) Burkitt lymphoma|18336708|2000
15-19|1.8|3.3|2.4|44|II(c) Burkitt lymphoma|17999090|2000
5-9|2.9|4.7|3.7|67|II(c) Burkitt lymphoma|18205547|2000
<1|~|~|~|~|II(c) Burkitt lymphoma|3420047|2000
1-4|1.3|2.9|2.0|27|II(d) Miscellaneous lymphoreticular neoplasms|13615288|2000
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18336708|2000
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|17999090|2000
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18205547|2000
<1|4.3|10.1|6.7|23|II(d) Miscellaneous lymphoreticular neoplasms|3420047|2000
1-4|~|~|~|~|II(e) Unspecified lymphomas|13615288|2000
10-14|~|~|~|~|II(e) Unspecified lymphomas|18336708|2000
15-19|~|~|~|~|II(e) Unspecified lymphomas|17999090|2000
5-9|0.6|1.6|1.0|18|II(e) Unspecified lymphomas|18205547|2000
<1|~|~|~|~|II(e) Unspecified lymphomas|3420047|2000
1-4|36.0|42.7|39.2|534|III CNS and misc intracranial and intraspinal neoplasms|13615288|2000
10-14|25.0|29.8|27.3|501|III CNS and misc intracranial and intraspinal neoplasms|18336708|2000
15-19|19.7|24.1|21.8|393|III CNS and misc intracranial and intraspinal neoplasms|17999090|2000
5-9|31.0|36.4|33.6|612|III CNS and misc intracranial and intraspinal neoplasms|18205547|2000
<1|27.0|39.4|32.7|112|III CNS and misc intracranial and intraspinal neoplasms|3420047|2000
1-4|3.9|6.3|5.0|68|III(a) Ependymomas and choroid plexus tumor|13615288|2000
10-14|1.0|2.1|1.5|27|III(a) Ependymomas and choroid plexus tumor|18336708|2000
15-19|0.9|2.1|1.4|25|III(a) Ependymomas and choroid plexus tumor|17999090|2000
5-9|1.7|3.2|2.4|43|III(a) Ependymomas and choroid plexus tumor|18205547|2000
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3420047|2000
1-4|16.8|21.6|19.1|260|III(b) Astrocytomas|13615288|2000
10-14|14.3|18.0|16.0|294|III(b) Astrocytomas|18336708|2000
15-19|10.3|13.6|11.9|214|III(b) Astrocytomas|17999090|2000
5-9|14.6|18.3|16.4|298|III(b) Astrocytomas|18205547|2000
<1|10.3|18.6|14.0|48|III(b) Astrocytomas|3420047|2000
1-4|8.0|11.3|9.5|130|III(c) Intracranial and intraspinal embryonal tumors|13615288|2000
10-14|3.9|6.0|4.9|90|III(c) Intracranial and intraspinal embryonal tumors|18336708|2000
15-19|2.6|4.4|3.4|62|III(c) Intracranial and intraspinal embryonal tumors|17999090|2000
5-9|7.2|9.9|8.5|154|III(c) Intracranial and intraspinal embryonal tumors|18205547|2000
<1|6.6|13.6|9.6|33|III(c) Intracranial and intraspinal embryonal tumors|3420047|2000
1-4|3.0|5.3|4.0|55|III(d) Other gliomas|13615288|2000
10-14|3.2|5.1|4.0|74|III(d) Other gliomas|18336708|2000
15-19|3.2|5.1|4.1|73|III(d) Other gliomas|17999090|2000
5-9|4.7|6.9|5.7|104|III(d) Other gliomas|18205547|2000
<1|~|~|~|~|III(d) Other gliomas|3420047|2000
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|13615288|2000
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18336708|2000
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|17999090|2000
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18205547|2000
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3420047|2000
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|13615288|2000
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18336708|2000
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|17999090|2000
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18205547|2000
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3420047|2000
1-4|17.4|22.2|19.7|268|IV Neuroblastoma and other peripheral nervous cell tumors|13615288|2000
10-14|0.9|2.1|1.4|26|IV Neuroblastoma and other peripheral nervous cell tumors|18336708|2000
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|17999090|2000
5-9|2.5|4.2|3.2|59|IV Neuroblastoma and other peripheral nervous cell tumors|18205547|2000
<1|46.8|62.8|54.4|186|IV Neuroblastoma and other peripheral nervous cell tumors|3420047|2000
1-4|17.4|22.2|19.7|268|IV(a) Neuroblastoma and ganglioneuroblastoma|13615288|2000
10-14|0.7|1.8|1.1|21|IV(a) Neuroblastoma and ganglioneuroblastoma|18336708|2000
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|17999090|2000
5-9|2.4|4.1|3.1|57|IV(a) Neuroblastoma and ganglioneuroblastoma|18205547|2000
<1|46.8|62.8|54.4|186|IV(a) Neuroblastoma and ganglioneuroblastoma|3420047|2000
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|13615288|2000
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18336708|2000
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|17999090|2000
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18205547|2000
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3420047|2000
1-4|9.0|12.5|10.6|145|IX Soft tissue and other extraosseous sarcomas|13615288|2000
10-14|9.8|12.9|11.3|207|IX Soft tissue and other extraosseous sarcomas|18336708|2000
15-19|14.7|18.5|16.6|298|IX Soft tissue and other extraosseous sarcomas|17999090|2000
5-9|6.7|9.4|8.0|145|IX Soft tissue and other extraosseous sarcomas|18205547|2000
<1|12.4|21.3|16.4|56|IX Soft tissue and other extraosseous sarcomas|3420047|2000
1-4|6.8|9.9|8.2|112|IX(a) Rhabdomyosarcomas|13615288|2000
10-14|3.0|4.9|3.9|71|IX(a) Rhabdomyosarcomas|18336708|2000
15-19|3.1|5.0|3.9|71|IX(a) Rhabdomyosarcomas|17999090|2000
5-9|3.1|5.0|4.0|72|IX(a) Rhabdomyosarcomas|18205547|2000
<1|5.0|11.1|7.6|26|IX(a) Rhabdomyosarcomas|3420047|2000
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|13615288|2000
10-14|0.6|1.6|1.0|18|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18336708|2000
15-19|1.4|2.7|1.9|35|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|17999090|2000
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18205547|2000
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3420047|2000
1-4|~|~|~|~|IX(c) Kaposi sarcoma|13615288|2000
10-14|~|~|~|~|IX(c) Kaposi sarcoma|18336708|2000
15-19|~|~|~|~|IX(c) Kaposi sarcoma|17999090|2000
5-9|~|~|~|~|IX(c) Kaposi sarcoma|18205547|2000
<1|~|~|~|~|IX(c) Kaposi sarcoma|3420047|2000
1-4|1.0|2.4|1.5|21|IX(d) Other specified soft tissue sarcomas|13615288|2000
10-14|3.8|5.9|4.7|87|IX(d) Other specified soft tissue sarcomas|18336708|2000
15-19|7.0|9.7|8.2|148|IX(d) Other specified soft tissue sarcomas|17999090|2000
5-9|1.8|3.4|2.5|46|IX(d) Other specified soft tissue sarcomas|18205547|2000
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3420047|2000
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|13615288|2000
10-14|1.1|2.4|1.7|31|IX(e) Unspecified soft tissue sarcomas|18336708|2000
15-19|1.7|3.2|2.3|42|IX(e) Unspecified soft tissue sarcomas|17999090|2000
5-9|0.6|1.6|1.0|18|IX(e) Unspecified soft tissue sarcomas|18205547|2000
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3420047|2000
1-4|~|~|~|~|Not classified by ICCC|13615288|2000
10-14|~|~|~|~|Not classified by ICCC|18336708|2000
15-19|~|~|~|~|Not classified by ICCC|17999090|2000
5-9|~|~|~|~|Not classified by ICCC|18205547|2000
<1|~|~|~|~|Not classified by ICCC|3420047|2000
1-4|8.2|11.7|9.8|134|V Retinoblastoma|13615288|2000
10-14|~|~|~|~|V Retinoblastoma|18336708|2000
15-19|~|~|~|~|V Retinoblastoma|17999090|2000
5-9|~|~|~|~|V Retinoblastoma|18205547|2000
<1|21.2|32.3|26.3|90|V Retinoblastoma|3420047|2000
1-4|18.6|23.6|21.0|286|VI Renal tumors|13615288|2000
10-14|0.7|1.7|1.1|20|VI Renal tumors|18336708|2000
15-19|0.7|1.7|1.1|20|VI Renal tumors|17999090|2000
5-9|5.1|7.5|6.2|113|VI Renal tumors|18205547|2000
<1|10.3|18.6|14.0|48|VI Renal tumors|3420047|2000
1-4|18.5|23.4|20.9|284|VI(a) Nephroblastoma and other nonepithelial renal tumors|13615288|2000
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18336708|2000
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|17999090|2000
5-9|4.8|7.0|5.8|106|VI(a) Nephroblastoma and other nonepithelial renal tumors|18205547|2000
<1|10.3|18.6|14.0|48|VI(a) Nephroblastoma and other nonepithelial renal tumors|3420047|2000
1-4|~|~|~|~|VI(b) Renal carcinomas|13615288|2000
10-14|~|~|~|~|VI(b) Renal carcinomas|18336708|2000
15-19|~|~|~|~|VI(b) Renal carcinomas|17999090|2000
5-9|~|~|~|~|VI(b) Renal carcinomas|18205547|2000
<1|~|~|~|~|VI(b) Renal carcinomas|3420047|2000
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|13615288|2000
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|18336708|2000
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|17999090|2000
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|18205547|2000
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3420047|2000
1-4|3.5|5.8|4.6|62|VII Hepatic tumors|13615288|2000
10-14|0.5|1.4|0.9|16|VII Hepatic tumors|18336708|2000
15-19|~|~|~|~|VII Hepatic tumors|17999090|2000
5-9|~|~|~|~|VII Hepatic tumors|18205547|2000
<1|7.9|15.3|11.1|38|VII Hepatic tumors|3420047|2000
1-4|3.5|5.8|4.6|62|VII(a) Hepatoblastoma|13615288|2000
10-14|~|~|~|~|VII(a) Hepatoblastoma|18336708|2000
15-19|~|~|~|~|VII(a) Hepatoblastoma|17999090|2000
5-9|~|~|~|~|VII(a) Hepatoblastoma|18205547|2000
<1|7.6|14.9|10.8|37|VII(a) Hepatoblastoma|3420047|2000
1-4|~|~|~|~|VII(b) Hepatic carcinomas|13615288|2000
10-14|~|~|~|~|VII(b) Hepatic carcinomas|18336708|2000
15-19|~|~|~|~|VII(b) Hepatic carcinomas|17999090|2000
5-9|~|~|~|~|VII(b) Hepatic carcinomas|18205547|2000
<1|~|~|~|~|VII(b) Hepatic carcinomas|3420047|2000
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|13615288|2000
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18336708|2000
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|17999090|2000
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18205547|2000
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3420047|2000
1-4|0.7|2.0|1.2|17|VIII Malignant bone tumors|13615288|2000
10-14|11.7|15.1|13.3|244|VIII Malignant bone tumors|18336708|2000
15-19|12.4|15.9|14.1|253|VIII Malignant bone tumors|17999090|2000
5-9|4.3|6.5|5.3|97|VIII Malignant bone tumors|18205547|2000
<1|~|~|~|~|VIII Malignant bone tumors|3420047|2000
1-4|~|~|~|~|VIII(a) Osteosarcomas|13615288|2000
10-14|6.6|9.2|7.8|143|VIII(a) Osteosarcomas|18336708|2000
15-19|6.8|9.5|8.1|146|VIII(a) Osteosarcomas|17999090|2000
5-9|2.2|3.8|2.9|53|VIII(a) Osteosarcomas|18205547|2000
<1|~|~|~|~|VIII(a) Osteosarcomas|3420047|2000
1-4|~|~|~|~|VIII(b) Chondrosarcomas|13615288|2000
10-14|~|~|~|~|VIII(b) Chondrosarcomas|18336708|2000
15-19|~|~|~|~|VIII(b) Chondrosarcomas|17999090|2000
5-9|~|~|~|~|VIII(b) Chondrosarcomas|18205547|2000
<1|~|~|~|~|VIII(b) Chondrosarcomas|3420047|2000
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|13615288|2000
10-14|3.8|5.8|4.7|86|VIII(c) Ewing tumor and related sarcomas of bone|18336708|2000
15-19|3.6|5.6|4.5|81|VIII(c) Ewing tumor and related sarcomas of bone|17999090|2000
5-9|1.7|3.2|2.4|43|VIII(c) Ewing tumor and related sarcomas of bone|18205547|2000
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3420047|2000
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|13615288|2000
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|18336708|2000
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|17999090|2000
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|18205547|2000
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3420047|2000
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|13615288|2000
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18336708|2000
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|17999090|2000
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18205547|2000
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3420047|2000
1-4|1.7|3.5|2.5|34|X Germ cell, trophoblastic tumors & neoplasms of gonads|13615288|2000
10-14|5.4|7.8|6.5|119|X Germ cell, trophoblastic tumors & neoplasms of gonads|18336708|2000
15-19|25.6|30.5|27.9|503|X Germ cell, trophoblastic tumors & neoplasms of gonads|17999090|2000
5-9|1.9|3.5|2.6|48|X Germ cell, trophoblastic tumors & neoplasms of gonads|18205547|2000
<1|12.6|21.6|16.7|57|X Germ cell, trophoblastic tumors & neoplasms of gonads|3420047|2000
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|13615288|2000
10-14|1.7|3.2|2.3|43|X(a) Intracranial & intraspinal germ cell tumors|18336708|2000
15-19|1.7|3.2|2.3|42|X(a) Intracranial & intraspinal germ cell tumors|17999090|2000
5-9|0.9|2.0|1.4|25|X(a) Intracranial & intraspinal germ cell tumors|18205547|2000
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3420047|2000
1-4|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|13615288|2000
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18336708|2000
15-19|1.6|3.1|2.3|41|X(b) Malignant extracranial & extragonadal germ cell tumors|17999090|2000
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18205547|2000
<1|7.9|15.3|11.1|38|X(b) Malignant extracranial & extragonadal germ cell tumors|3420047|2000
1-4|~|~|~|~|X(c) Malignant gonadal germ cell tumors|13615288|2000
10-14|2.7|4.5|3.5|64|X(c) Malignant gonadal germ cell tumors|18336708|2000
15-19|19.0|23.3|21.1|379|X(c) Malignant gonadal germ cell tumors|17999090|2000
5-9|0.7|1.8|1.2|21|X(c) Malignant gonadal germ cell tumors|18205547|2000
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3420047|2000
1-4|~|~|~|~|X(d) Gonadal carcinomas|13615288|2000
10-14|~|~|~|~|X(d) Gonadal carcinomas|18336708|2000
15-19|1.1|2.4|1.7|30|X(d) Gonadal carcinomas|17999090|2000
5-9|~|~|~|~|X(d) Gonadal carcinomas|18205547|2000
<1|~|~|~|~|X(d) Gonadal carcinomas|3420047|2000
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|13615288|2000
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18336708|2000
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|17999090|2000
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18205547|2000
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3420047|2000
1-4|1.2|2.7|1.8|25|XI Other malignant epithelial neoplasms and malignant melanomas|13615288|2000
10-14|10.2|13.3|11.7|214|XI Other malignant epithelial neoplasms and malignant melanomas|18336708|2000
15-19|42.0|48.3|45.1|811|XI Other malignant epithelial neoplasms and malignant melanomas|17999090|2000
5-9|2.3|3.9|3.0|55|XI Other malignant epithelial neoplasms and malignant melanomas|18205547|2000
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3420047|2000
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|13615288|2000
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|18336708|2000
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|17999090|2000
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|18205547|2000
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3420047|2000
1-4|~|~|~|~|XI(b) Thyroid carcinomas|13615288|2000
10-14|3.5|5.5|4.4|81|XI(b) Thyroid carcinomas|18336708|2000
15-19|15.3|19.1|17.1|308|XI(b) Thyroid carcinomas|17999090|2000
5-9|~|~|~|~|XI(b) Thyroid carcinomas|18205547|2000
<1|~|~|~|~|XI(b) Thyroid carcinomas|3420047|2000
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|13615288|2000
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|18336708|2000
15-19|0.6|1.6|1.0|18|XI(c) Nasopharyngeal carcinomas|17999090|2000
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|18205547|2000
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3420047|2000
1-4|~|~|~|~|XI(d) Malignant melanomas|13615288|2000
10-14|2.4|4.2|3.2|59|XI(d) Malignant melanomas|18336708|2000
15-19|13.6|17.3|15.4|277|XI(d) Malignant melanomas|17999090|2000
5-9|0.5|1.4|0.9|16|XI(d) Malignant melanomas|18205547|2000
<1|~|~|~|~|XI(d) Malignant melanomas|3420047|2000
1-4|~|~|~|~|XI(e) Skin carcinomas|13615288|2000
10-14|~|~|~|~|XI(e) Skin carcinomas|18336708|2000
15-19|~|~|~|~|XI(e) Skin carcinomas|17999090|2000
5-9|~|~|~|~|XI(e) Skin carcinomas|18205547|2000
<1|~|~|~|~|XI(e) Skin carcinomas|3420047|2000
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|13615288|2000
10-14|2.2|3.8|2.9|54|XI(f) Other and unspecified carcinomas|18336708|2000
15-19|9.6|12.7|11.1|199|XI(f) Other and unspecified carcinomas|17999090|2000
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|18205547|2000
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3420047|2000
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|13615288|2000
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|18336708|2000
15-19|0.7|1.7|1.1|20|XII Other and unspecified malignant neoplasms|17999090|2000
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|18205547|2000
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3420047|2000
1-4|~|~|~|~|XII(a) Other specified malignant tumors|13615288|2000
10-14|~|~|~|~|XII(a) Other specified malignant tumors|18336708|2000
15-19|~|~|~|~|XII(a) Other specified malignant tumors|17999090|2000
5-9|~|~|~|~|XII(a) Other specified malignant tumors|18205547|2000
<1|~|~|~|~|XII(a) Other specified malignant tumors|3420047|2000
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|13615288|2000
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|18336708|2000
15-19|0.6|1.6|1.0|18|XII(b) Other unspecified malignant tumors|17999090|2000
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|18205547|2000
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3420047|2000
1-4|210.2|225.7|217.9|3079|All ICCC Groups Combined|14133019|2001
10-14|127.2|137.5|132.3|2565|All ICCC Groups Combined|19390595|2001
15-19|206.2|219.5|212.8|4013|All ICCC Groups Combined|18860805|2001
5-9|111.1|120.9|115.9|2163|All ICCC Groups Combined|18660987|2001
<1|236.9|269.5|252.8|938|All ICCC Groups Combined|3710508|2001
1-4|87.7|97.8|92.7|1310|I Leukemias, myeloproliferative & myelodysplastic diseases|14133019|2001
10-14|28.5|33.5|30.9|599|I Leukemias, myeloproliferative & myelodysplastic diseases|19390595|2001
15-19|28.4|33.5|30.9|582|I Leukemias, myeloproliferative & myelodysplastic diseases|18860805|2001
5-9|36.4|42.2|39.2|732|I Leukemias, myeloproliferative & myelodysplastic diseases|18660987|2001
<1|42.7|57.3|49.6|184|I Leukemias, myeloproliferative & myelodysplastic diseases|3710508|2001
1-4|73.2|82.4|77.7|1098|I(a) Lymphoid leukemias|14133019|2001
10-14|18.5|22.5|20.4|396|I(a) Lymphoid leukemias|19390595|2001
15-19|14.0|17.6|15.7|296|I(a) Lymphoid leukemias|18860805|2001
5-9|29.2|34.3|31.7|591|I(a) Lymphoid leukemias|18660987|2001
<1|15.7|25.0|19.9|74|I(a) Lymphoid leukemias|3710508|2001
1-4|7.6|10.8|9.1|129|I(b) Acute myeloid leukemias|14133019|2001
10-14|5.9|8.4|7.1|137|I(b) Acute myeloid leukemias|19390595|2001
15-19|7.5|10.2|8.7|165|I(b) Acute myeloid leukemias|18860805|2001
5-9|3.9|5.9|4.8|90|I(b) Acute myeloid leukemias|18660987|2001
<1|11.4|19.6|15.1|56|I(b) Acute myeloid leukemias|3710508|2001
1-4|1.0|2.4|1.6|22|I(c) Chronic myeloproliferative diseases|14133019|2001
10-14|1.3|2.6|1.9|36|I(c) Chronic myeloproliferative diseases|19390595|2001
15-19|3.0|4.9|3.9|73|I(c) Chronic myeloproliferative diseases|18860805|2001
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|18660987|2001
<1|3.7|9.0|5.9|22|I(c) Chronic myeloproliferative diseases|3710508|2001
1-4|1.6|3.3|2.3|33|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14133019|2001
